City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,quellon,-43.1167,-73.6167,10.79,85,89,3.92,CL,1697584439
120,cabo san lucas,22.8909,-109.9124,34.78,51,0,2.06,MX,1697584439
121,stanley,54.868,-1.6985,9.32,90,20,2.57,GB,1697584432
122,lompoc,34.6391,-120.4579,30.56,74,40,6.71,US,1697584439
123,dongsheng,39.8161,109.9776,5.17,41,53,3.13,CN,1697584440
124,santarem,-2.4431,-54.7083,26.07,78,40,1.54,BR,1697584440
125,ilulissat,69.2167,-51.1,-9.99,67,100,2.06,GL,1697584440
126,invercargill,-46.4,168.35,14.45,60,92,4.92,NZ,1697584440
127,tura,25.5198,90.2201,19.57,87,0,1.33,IN,1697584441
128,vilyuysk,63.7553,121.6247,-3.23,96,100,2.24,RU,1697584441
129,bathurst,-33.4166,149.5806,16.65,60,14,0.89,AU,1697584441
130,namtsy,62.7161,129.6658,-3.87,78,100,1.57,RU,1697584442
131,dryden,49.7833,-92.7503,13.16,58,75,3.6,CA,1697584442
132,masterton,-40.9597,175.6575,15.13,79,95,1.04,NZ,1697584200
133,lihue,21.9789,-159.3672,28.19,67,100,4.12,US,1697584443
134,ribeira grande,38.5167,-28.7,21.54,94,100,7.6,PT,1697584401
135,bilibino,68.0546,166.4372,-15.02,97,100,1.38,RU,1697584390
136,mejit,10.2753,170.8646,27.42,79,61,4.09,MH,1697584444
137,morena,26.4969,78.0,22.34,67,38,1.59,IN,1697584444
138,christchurch,-43.5333,172.6333,16.97,67,83,4.63,NZ,1697584444
139,albany,42.6001,-73.9662,12.41,79,95,1.72,US,1697583944
140,kailua-kona,19.6406,-155.9956,30.71,73,20,3.6,US,1697584445
141,beira,-19.8436,34.8389,22.29,94,100,2.45,MZ,1697584446
142,st. john's,47.5649,-52.7093,5.99,90,100,2.57,CA,1697584447
143,tsiombe,-25.3,45.4833,21.73,91,100,3.21,MG,1697584447
144,nuuk,64.1835,-51.7216,-4.66,58,0,7.72,GL,1697584448
145,wuwei,37.9281,102.6414,8.11,32,100,4.08,CN,1697584449
146,brookings,44.3114,-96.7984,19.19,48,0,5.14,US,1697584234
147,nagqu,31.5,92.0,-2.96,86,100,1.61,CN,1697584449
148,nuku'alofa,-21.1333,-175.2,25.19,65,20,8.75,TO,1697584450
149,al hawatah,13.4167,34.6333,27.44,64,82,2.66,SD,1697584450
150,ashburton,-37.8626,145.0794,18.2,67,2,1.34,AU,1697584450
151,bamboo flat,11.7,92.7167,26.84,81,49,1.15,IN,1697584450
152,weno,7.4515,151.8468,29.97,84,100,2.06,FM,1697584451
153,west island,-12.1568,96.8225,25.99,78,40,6.69,CC,1697584385
154,yarmouth,41.7057,-70.2286,13.31,89,0,1.34,US,1697584451
155,tralee,52.2704,-9.7026,12.39,92,100,7.66,IE,1697584451
156,taquaritinga do norte,-7.9031,-36.0442,19.68,71,90,5.1,BR,1697584183
157,holualoa,19.6228,-155.9522,28.64,73,20,3.6,US,1697584452
158,doctor alberto oviedo mota,32.2275,-115.1697,38.33,10,84,2.61,MX,1697584452
159,naze,28.3667,129.4833,20.51,62,0,1.94,JP,1697584452
160,machakos,-1.5167,37.2667,18.97,92,100,1.42,KE,1697584453
161,port mathurin,-19.6833,63.4167,23.72,82,6,4.09,MU,1697584453
162,gao,16.6362,1.637,31.7,18,66,2.83,ML,1697584453
163,wad medani,14.4012,33.5199,30.36,40,72,2.07,SD,1697584454
164,isafjordur,66.0755,-23.124,6.39,92,95,5.37,IS,1697584387
165,kenai,60.5544,-151.2583,11.03,56,0,3.09,US,1697584391
166,alofi,-19.0595,-169.9187,25.94,57,40,10.29,NU,1697584454
167,natal,-5.795,-35.2094,26.12,73,0,5.14,BR,1697584455
168,singaraja,-8.112,115.0882,26.37,73,87,0.63,ID,1697584455
169,petropavlovka,50.6114,105.3196,1.74,66,88,2.83,RU,1697584455
170,belyy yar,53.6039,91.3903,6.94,87,75,0.0,RU,1697584455
171,taoudenni,22.6783,-3.9836,31.87,14,1,4.01,ML,1697584455
172,nogliki,51.8333,143.1667,9.08,84,99,3.13,RU,1697584188
173,leninskoye,41.7589,69.3864,13.48,34,33,1.28,KZ,1697584456
174,ilebo,-4.3167,20.5833,22.03,99,56,0.77,CD,1697584456
175,kayangel,8.0823,134.7173,27.88,75,11,0.54,PW,1697584456
176,alenquer,-1.9417,-54.7383,25.34,80,69,1.63,BR,1697584457
177,akjoujt,19.6969,-14.4164,31.54,18,8,2.91,MR,1697584457
178,soure,-0.7167,-48.5233,27.52,80,69,6.59,BR,1697584344
179,bubaque,11.2833,-15.8333,27.76,78,32,3.81,GW,1697584457
180,kapuskasing,49.4169,-82.4331,9.05,76,20,1.54,CA,1697584416
181,usinsk,65.9939,57.5281,2.26,99,100,7.15,RU,1697584458
182,arraial do cabo,-22.9661,-42.0278,22.94,91,97,4.77,BR,1697584458
183,kerikeri,-35.2268,173.9474,18.84,88,100,0.89,NZ,1697584369
184,verkhnevilyuysk,63.4453,120.3167,-2.81,95,100,2.68,RU,1697584458
185,barra de santo antonio,-9.4047,-35.5072,23.6,82,89,4.35,BR,1697584459
186,quimili,-27.6333,-62.4167,21.33,62,97,4.26,AR,1697584459
187,newnham,-41.3833,147.1333,14.06,76,12,4.12,AU,1697584459
188,eyl,7.9803,49.8164,26.5,83,40,2.85,SO,1697584194
189,petropavlovsk-kamchatsky,53.0452,158.6483,6.36,88,75,3.0,RU,1697584399
190,nikolayevsk-on-amure,53.1406,140.73,4.25,87,60,0.77,RU,1697584460
191,touba,8.2833,-7.6833,21.51,92,77,0.6,CI,1697584460
192,portland,45.5234,-122.6762,20.37,71,75,4.12,US,1697584255
193,sitka,57.0531,-135.33,13.94,54,100,9.26,US,1697584461
194,inhambane,-23.865,35.3833,20.31,90,66,4.27,MZ,1697584461
195,kununurra,-15.7667,128.7333,23.99,57,1,0.0,AU,1697584461
196,poso,-1.3959,120.7524,26.96,73,14,1.81,ID,1697584461
197,alta,69.9689,23.2717,-4.89,84,57,1.54,NO,1697584462
198,ciudad del este,-25.5167,-54.6167,23.41,78,0,6.17,PY,1697584462
199,genhe,50.7833,121.5167,-1.27,72,63,1.91,CN,1697584462
200,la passe,45.5549,-0.8967,20.55,78,97,10.45,FR,1697584462
201,wildwood,38.5828,-90.6629,18.8,56,0,0.0,US,1697584463
202,usogorsk,63.4106,48.6872,3.15,87,100,3.26,RU,1697584463
203,dohad,22.8333,74.2667,23.06,63,0,1.27,IN,1697584463
204,bayramaly,37.6185,62.1671,14.86,45,14,3.72,TM,1697584464
205,jindabyne,-36.4167,148.6333,16.5,33,0,1.26,AU,1697584464
206,challapata,-18.9,-66.7667,12.99,52,53,8.55,BO,1697584464
207,coyhaique,-45.5752,-72.0662,15.34,51,0,3.6,CL,1697584464
208,kitimat,54.0524,-128.6534,10.21,63,100,0.45,CA,1697584438
209,puerto el triunfo,13.2833,-88.55,27.89,74,98,1.65,SV,1697584465
210,daru,-9.0763,143.2092,26.81,81,82,4.59,PG,1697584465
211,fort bragg,35.139,-79.006,17.73,71,100,0.0,US,1697584206
212,kerema,-7.9631,145.7785,24.65,92,100,2.72,PG,1697584466
213,yemetsk,63.4721,41.7941,2.8,94,100,4.42,RU,1697584466
214,longyearbyen,78.2186,15.6401,-5.09,68,75,3.6,SJ,1697584466
215,talnakh,69.4865,88.3972,-1.55,96,100,6.57,RU,1697584467
216,hauterive,46.0901,3.4459,17.42,83,88,2.91,FR,1697584468
217,flying fish cove,-10.4217,105.6791,24.82,88,40,3.6,CX,1697584469
218,saint-philippe,-21.3585,55.7679,22.77,79,86,2.8,RE,1697584469
219,toliara,-23.35,43.6667,23.1,70,98,3.78,MG,1697584470
220,howard springs,-12.497,131.047,29.9,50,51,1.56,AU,1697584471
221,cannonvale,-20.2833,148.7,23.66,74,96,9.21,AU,1697584471
222,georgetown,5.4112,100.3354,27.19,89,20,1.03,MY,1697584245
223,aasiaat,68.7098,-52.8699,-17.14,84,21,2.26,GL,1697584406
224,vanimo,-2.6741,141.3028,27.32,83,87,1.94,PG,1697584471
225,khor,47.8861,134.9464,4.31,68,95,3.39,RU,1697584472
226,rawson,-43.3002,-65.1023,12.1,57,1,4.86,AR,1697584472
227,sretensk,52.2453,117.7093,-0.7,70,100,1.79,RU,1697584472
228,east london,-33.0153,27.9116,17.11,79,1,7.79,ZA,1697584472
229,saldanha,-33.0117,17.9442,14.92,95,2,5.87,ZA,1697584413
230,vernon,50.2581,-119.2691,16.45,46,79,1.54,CA,1697584473
231,ivins,37.1686,-113.6794,32.3,16,23,2.8,US,1697584473
232,puerto aysen,-45.4,-72.7,10.61,97,99,1.02,CL,1697584473
233,northam,51.0333,-4.2167,13.47,82,100,10.24,GB,1697584474
234,prince rupert,54.3161,-130.3201,12.05,87,100,9.77,CA,1697584213
235,gizo,-8.103,156.8419,27.9,79,97,2.97,SB,1697584474
236,sharlyk,52.9167,54.75,6.93,63,100,5.87,RU,1697584474
237,altai,46.3722,96.2583,-2.11,35,8,1.5,MN,1697584474
238,guerrero negro,27.9769,-114.0611,24.02,59,3,7.41,MX,1697584475
239,trinity beach,-16.7888,145.6968,28.9,65,75,5.14,AU,1697584475
240,medicine hat,50.0501,-110.6683,15.24,62,75,10.29,CA,1697584376
241,codrington,-38.2667,141.9667,15.88,53,0,3.37,AU,1697584475
242,villa huidobro,-34.8383,-64.5869,17.72,19,7,4.48,AR,1697584476
